coral.ID,site,file.name,series ,scale,units,sex,stage,length,width,geometric.mean = sqrt(L*W),notes
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,44.449,47.925,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,47.925,56.291,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,36.415,45.748,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,135.297,59.303,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,96.634,65.554,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,124.609,43.614,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,60.426,44.783,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,68.13,38.251,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,59.279,44.689,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,2,178.391,121.329,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,2,101.633,79.855,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,187.266,145.719,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,202.348,125.423,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,190.251,108.481,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,4,260.955,112.165,,
POC-478-20220217,forereef,POC_478_FOR_20220217_1.vsi,14,3.6529,microns,female,2,31.896,22.311,,
POC-478-20220217,forereef,POC_478_FOR_20220217_1.vsi,14,3.6529,microns,female,2,29.022,16.541,,
POC-478-20220217,forereef,POC_478_FOR_20220217_1.vsi,14,3.6529,microns,female,2,22.122,15.992,,
POC-478-20220413,forereef,POC478_FOR_20220413_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-478-20220517,forereef,POC478_FOR_20220517_2.vsi,22,3.6529,microns,female,1,14.344,7.305,,
POC-478-20220517,forereef,POC478_FOR_20220517_2.vsi,14,3.6529,microns,female,2,36.609,24.77,,
POC-471-20220126,backreef,POC471_FOR_20220126_02.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220215,backreef,POC471_FOR_20220215_1.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220315,backreef,POC471_FOR_20220315_2,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220414,backreef,POC471_FOR_20220414_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220515,backreef,POC471_FOR_20220515_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220616,backreef,POC471_FOR_20220616_1.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220727,backreef,POC471_FOR_20220727_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220811,backreef,POC471_FOR_20220811_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,1,13.758,10.332,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,1,12.244,9.955,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,1,8.748,6.6667,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,2,25.919,20.319,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,2,22.691,14.904,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,2,16.411,13.408,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,3,38.988,19.631,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,3,42.02,17.312,,
POC-471-20220917,backreef,POC471_FOR_20220917_1.vsi,14,3.6529,microns,female,3,41.53,28.411,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,female,2,28.854,14.265,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,female,2,24.974,22.401,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,female,2,31.011,22.392,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,male,3,41.292,30.778,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,male,3,42.25,25.287,,
POC-471-20221015,backreef,POC471_FOR_20221015_1.vsi,14,3.6529,microns,male,3,43.684,34.093,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,2,21.183,19.536,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,2,26.602,18.089,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,2,29.328,19.988,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,3,85.599,48.199,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,3,72.491,54.856,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,female,3,79.94,58.053,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,2,159.928,108.98,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,2,184.109,87.39,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,2,136.161,59.728,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,3,182.583,101.385,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,3,280.445,89.36,,
POC-471-20221113,backreef,POC471_FOR_20221113_1.vsi,14,3.6529,microns,male,3,273.534,123.518,,
POC-472-20220126,backreef,POC472_FOR_20220126_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-473-20220215,backreef,POC473_FOR_20220215_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-473-20220315,backreef,POC473_FOR_20220315_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-473-20220414,backreef,POC473_FOR_20220414_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
POC-473-20220515,backreef,POC473_FOR_20220515_2.vsi,22,3.6529,microns,NA,NA,NA,NA,,
