coral.ID,site,file.name,series ,scale,units,sex,stage,length,width,geometric.mean = sqrt(L*W),notes
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,2,29.042,19.19,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,44.449,47.925,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,47.925,56.291,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,female,3,36.415,45.748,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,135.297,59.303,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,96.634,65.554,,
POC-477-20221017,forereef,POC_477_FOR_20221017_1.vsi,14,3.6529,microns,male,2,124.609,43.614,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,60.426,44.783,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,68.13,38.251,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,female,3,59.279,44.689,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,2,178.391,121.329,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,2,101.633,79.855,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,187.266,145.719,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,202.348,125.423,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,3,190.251,108.481,,
POC-477-20221110,forereef,POC_477_FOR_20221110_1.vsi,14,3.6529,microns,male,4,260.955,112.165,,
POC-478-20220217,forereef,POC_478_FOR_20220217_1.vsi,14,3.6529,microns,,,,,,
