coral.ID,site,file.name,series,scale,units,sex,stage,quantity ,notes
POC-471-20220126,backreef,POC471_LAG_20220126_02.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220215,backreef,POC471_LAG_20220215_2.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220315,backreef,POC471_LAG_20220315_2.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220414,backreef,POC471_LAG_20220414_2.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220515,backreef,POC471_LAG_20220515_2.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220616,backreef,POC471_LAG_20220616_1.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220727,backreef,POC471_LAG_20220727_2.vsi,22,3.6529,microns,NA,NA,NA,blank
POC-471-20220811,backreef,POC471_LAG_20220811_2.vsi,22,3.6529,microns,NA,NA,NA,triple check 
POC-471-20220917,backreef,POC471_LAG_20220917_1.vsi,14,3.6529,microns,female,1,6,
POC-471-20220917,backreef,POC471_LAG_20220917_1.vsi,14,3.6529,microns,female,2,17,
POC-471-20220917,backreef,POC471_LAG_20220917_1.vsi,14,3.6529,microns,female,3,11,
POC-471-20221015,backreef,POC471_LAG_20221015_1.vsi,14,3.6529,microns,female,2,27,
POC-471-20221015,backreef,POC471_LAG_20221015_1.vsi,14,3.6529,microns,female,3,20,
POC-471-20221015,backreef,POC471_LAG_20221015_1.vsi,14,3.6529,microns,male,1,10,
POC-471-20221113,backreef,POC471_LAG_20221113_1.vsi,14,3.6529,microns,female,2,7,
POC-471-20221113,backreef,POC471_LAG_20221113_1.vsi,14,3.6529,microns,female,3,66,
POC-471-20221113,backreef,POC471_LAG_20221113_1.vsi,14,3.6529,microns,male,2,13,
POC-471-20221113,backreef,POC471_LAG_20221113_1.vsi,14,3.6529,microns,male,3,1,
POC-472-20220126,backreef,POC472_LAG_20220126_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220215,backreef,POC473_LAG_20220215_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220315,backreef,POC473_LAG_20220315_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220414,backreef,POC473_LAG_20220414_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220515,backreef,POC473_LAG_20220515_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220616,backreef,POC473_LAG_20220616_2.vsi,unable to open,,,,,,
POC-473-20220727,backreef,POC473_LAG_20220727_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220811,backreef,POC473_LAG_20220811_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20220917,backreef,POC473_LAG_20220917_1.vsi,22,3.6529,microns,male,1,1,
POC-473-20221015,backreef,POC473_LAG_20221015_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-473-20221111,backreef,POC473_LAG_20221111_2.vsi,22,3.6529,microns,female,2,1,
POC-473-20221111,backreef,POC473_LAG_20221111_2.vsi,22,3.6529,microns,female,3,15,
POC-473-20221111,backreef,POC473_LAG_20221111_2.vsi,22,3.6529,microns,male,1,4,
POC-473-20221111,backreef,POC473_LAG_20221111_2.vsi,22,3.6529,microns,male,2,9,
POC-474-20220126,backreef,POC473_LAG_20221111_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-474-20220215,backreef,POC474_LAG_20220215_2.vsi,22,3.6529,microns,,,,"Potentially some spermaries that look sort of translucent, bottom center right "
POC-474-20220315,backreef,POC474_LAG_20220315_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-474-20220414,backreef,POC474_LAG_20220414_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-474-20220515,backreef,POC474_LAG_20220515_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-474-20220616,backreef,POC474_LAG_20220616_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-474-20220727,backreef,POC_474_LAG_20220727_2.vsi,22,3.6529,microns,NA,NA,NA,Potentially a smiliar spermary that has been cut super thin
POC-481-20220729,forereef,POC_481_FOR_20220729_2.vsi,14,3.6529,microns,female,2,3,
POC-481-20220729,forereef,POC_481_FOR_20220729_2.vsi,14,3.6529,microns,male,1,1,
POC-481-20220812,forereef,POC_481_FOR_20220812_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-481-20220930,forereef,POC_481_FOR_20220930_2.vsi,14,3.6529,microns,female,2,2,
POC-481-20220930,forereef,POC_481_FOR_20220930_2.vsi,14,3.6529,microns,female,3,19,
POC-481-20220930,forereef,POC_481_FOR_20220930_2.vsi,14,3.6529,microns,male,1,6,
POC-481-20220930,forereef,POC_481_FOR_20220930_2.vsi,14,3.6529,microns,male,2,4,
POC-481-20221017,forereef,POC_481_FOR_20221017_2.vsi,22,3.6529,microns,NA,NA,NA,
POC-481-20221110,forereef,POC_481_FOR_20221110_2.vsi,22,3.6529,microns,female,3,7,
POC-481-20221110,forereef,POC_481_FOR_20221110_2.vsi,22,3.6529,microns,male,2,10,
POC-481-20221110,forereef,POC_481_FOR_20221110_2.vsi,22,3.6529,microns,male,3,12,
POC-475-20220126,backreef,20220126_POC475_LAG_02.vsi,22,3.6529,microns,NA,NA,NA,
POC-479-20220217,forereef,20220217_POC479_FOR_02.vsi,22,3.6529,microns,NA,NA,NA,
